isgood;title
y;shell ceo talks shell break up at web summit 
n;la jolla playhouse's without walls festival will take place next year at the rady shell 
n;top headlines: shell ceo talks shell break up at web summit and more 
n;opec latest: meeting concludes without discussion of oil policy 
n;exclusive: deirdre michie to step down as ceo of trade body oeuk 
n;shell books maersk drilling rig for pensacola campaign 
y;shell ceo points out loopholes in russian oil sanctions after announcing record profits 
n;european natural gas prices rise on new supply fears 
y;shell ceo roasted at ted climate conference he was foolishly invited to speak at 
y;'it felt like a body blow': shell ceo reflects on 2021 
n;carplay in ios 16 will let you pay for gas right from your dashboard 
n;best way to make money as ceo gta v 
n;best way to make money as a ceo in gta 
y;shell ceo says energy security 'cannot be taken for granted' as global lng projects advance 
n;nextmart, inc. announces new chief executive officer 
y;shell boss faces investor rebellion over âł13.5m pay package 
y;shell ceo takes large pay cut after bruising 2020 
n;us bans russian imports, shell ceo apologizes 
y;shell ceo: you need us on climate change 
y;shell ceo pledges faster carbon emissions cuts after dutch court ruling 
n;octopus energy ceo lays out roadmap for âł1,000 heat pumps: 'much cheaper!' 
y;'we were told we were not welcome': shell ceo admits oil giant will not be at cop26 | recharge 
y;shell ceo: europe has lng options 
y;shell ceo refuses to recognize climate crisis as â€śexistential threatâ€ť in hearing 
n;nbcu ceo jeff shell earns 30% pay bump in 2021, comcast proxy statement says 
n;servisfirst bank announces add 
y;shell to stop all russian oil and gas purchases, apologizes for buying shipment after ukraine invasion 
y;shell could quadruple hydrogen portfolio in months as ceo claims 'we're making most progress' | recharge 
y;shell won't ride the tightening oil market wave, says ceo 
n;jon stewart laughs in the face of shell's ceo after he tries to distance himself from the american petroleum institute 
n;energy giant shell to end partnership with russia's gazprom as ukraine conflict intensifies 
n;kuwait airways expecting 4x passenger rise in 2022 than 2021: ceo 
y;shell ceo pay almost halves in 2020 
n;can we still be friends? shell sends dutch pm parting note 
y;shell's ceo doesn't want you to call it an oil company 
y;shell shack announces new ceo, monte batson 
n;shell at websummit 2021 
y;shell boss rakes in âł7million in shares thanks to the cost of living crisis 
y;shell consultant quits, accusing firm of â€extreme harmsâ€™ to environment 
y;shell ditches royal dutch from its name 
n;shellâ€™s ceo thinks weâ€™re dumb 
n;baldwin & shell construction names bobby gosser as new president and ceo 
n;shell boss ben van beurden: carbon ruling was 'body blow' 
n;baldwin & shell ceo scott copas stepping down, joining wife shayla's company 
n;oil execs testify as dems deflect blame for pain at the pump 
n;shell bulgaria appoints new ceo 
n;baldwin & shell ceo bobby gosser living proof of building from the ground up 
y;shell says aims to hit carbon reduction goals regardless of others 
n;â€greta thunberg would love it â€“ shellâ€™s ceo less soâ€™: joe lycett vs the oil giant review 
y;shell says its russia pullout has cost $5 billion so far 
n;lng canada appoints new ceo 
y;shell ceo brags about trippling profits in the 1st quarter thanks mostly to putin's war in ukraine 
y;shell takes harder stance against russian oil after criticism from ukraine 
n;shell energy appoints tony keeling as ceo as ed kamm steps down after nine years 
n;these top 5 oil companies just raked in $35 billion while americans pay more at the pump 
y;shell ceo hopeful biden will speed up climate change fight 
n;oil, gas, lng to be shell's 'cash engines' for decades: ceo van beurden 
n;shell to sell russian investments due to ukraine conflict 
y;shell sorry and pledges to stop buying russian oil 
y;shell ceoâ€™s pay more than doubles to âł17.2m 
n;us gas prices are over $4 a gallon. these oil ceos took home over $20m 
n;saudi aramco could swallow shell and bp, says brand finance ceo 
n;environment group warns shell board on liability for emission targets 
n;amir meets ceo of shell plc 
y;shell boss touts âł100m uk jobs investment as part of 2030 growth plans 
y;shell ceo ben van beurden sells âł3.9 million of shares 
y;shell chiefâ€™s pay rose by a quarter in 2021 to âł6m 
n;n800 billion judgement: shell to halt divestment plan until appeal is decided 
n;doubts about plans by g7 nations over russian oil cost cap 
y;shell boss ben van beurden slammed for reaping more than âł18m 
n;watch: activist grills shell ceo ben van beurden on firmâ€™s role in climate change at ted conference 
n;opec+ ratifies august oil production increase, leaving next move unresolved 
n;oil posts 7.8 percent monthly loss as analysts disagree on market outlook 
n;europe natural gas prices rise amid risk of further supply woes 
n;city comment: gas crisis could leave shell hot under the collar 
y;shell ceo admits defeat â€“ says fossil fuels on the way out 
n;shell's ceo wants you to fix climate change 
n;supply chain latest: us port talks near crunch time as cargo rolls in 
n;shell â€sorryâ€™ for buying russian oil last week 
y;shell ceo ben van beurden paid â‚¬24.2m in 2014 
n;pr news | shell tries to spin $9b q1 profit 
n;q&a with ben van beurden, ceo, royal dutch shell 
n;joe lycett makes stomach churning spoof ad showing shell ceo ben van beurden pooing out his mouth 
n;shell's prelude flng to remain offline for most of q1: ben van beurden 
n;we must harness the power of carbon capture 
n;royal dutch shell's ben van beurden on journey from hero to zero 
y;shell to pull the plug on gazprom equity partnerships 
n;ben van beurden, shell chief executive 
n;shell boss backs employees as they 'keep going' 
n;s'pore electricity tariffs to rise by about 8% for q3 amid global oil, gas crunch 
n;ben van beurden is a shell insider who made late rise to the top 
n;ben van beurden will need more than pr skills to navigate shell's choppy seas 
n;shell boss: net zero is 'the only way to go' 
n;van beurden named ceo of royal dutch shell 
n;royal dutch shell does not rule out moving hq from netherlands to uk, says ceo ben van beurden 
n;big oil's big earners: ceo pay ranked 
y;shell ceo ben van beurden: oil price recovery and forecasts 
n;shell needs to consider van beurden succession â€“ royal dutch shell plc .com 
n;'dramatic but doable': shell ceo on climate challenge 
n;governments 'wising up' to role of hydrogen in energy transition: shell boss van beurden | recharge 
n;report: prosecutors wiretapped shell ceo during nigerian corruption scandal 
n;asian insider 
y;shell boss has pay cut after a string of gruesome deaths 
n;how changing energy demand as well as supply can help tackle climate change 
n;'symbolic' halt to cambo project would not stop climate change â€” van beurden 
n;van beurden's pay lowest of any shell chief for six years 
n;why this big oil ceo is buying an electric car 
n;germany's pck schwedt refinery faces output cuts without russian oil 
y;shell filed appeal against landmark dutch climate ruling 
y;shell boss ben van beurden pockets âł7.8m in 11% pay rise 
n;open letter to shell's ben van beurden from john ashton 
n;oil giant shell warns public faith in fossil fuel industry is 'disappearing' and calls for carbon taxes 
n;shell's head of gas and renewables to leave company after 25 years 
n;ukraine criticizes shell's rules on russian fuel purchases 
n;germany seizes three gazprom tankers in new blow for putin 
n;analysis: oil's journey from worthless in the pandemic to $100 a barrel 
y;shell launches $1.4bn fund to support energy transition 'start
n;big oil says up to governments at climate talks to rein in demand 
n;shell's global boss ben van beurden pushes fellow browse gas partners towards 'blindingly obvious' pipeline to north west shelf 
y;royal dutch shell ceo: can't deny returns are too low 
n;shell picks ed daniels for new strategy and sustainability role 
n;updated: shell boss paid âł8.7m last year, 87 times more than average uk employee 
n;shell boss says mass reforestation needed to limit temperature rises to 1.5c 
y;shell faces opposition on ceo's 'excessive' bonus pay 
y;putin signs order to move sakhalin 2 oil project to russian entity 
y;shell signs up maersk drilling rig for uk gas prospect 
n;shell eastern petroleum signs mous with japan lng buyers 
n;nbcuniversal boss says business is booming, no signs of impending recession 
n;aon signs up to amex gbt and shellâ€™s blockchain
n;the biggest party animal of the zodiac, according to astrologers â€” best life 
n;nba free agent tracker, day 3: darius garland signs max extension with cleveland 
n;the most spiteful zodiac sign, according to astrologers â€” best life 
n;beachgoers on new contamination
n;movie review: a24's 'marcel the shell with shoes on' 
n;swarm of tiny swimming robots could look for life on distant worlds 
n;china snubs boeing to strike huge new deal with airbus 
n;'marcel the shell with shoes on' will absolutely destroy you 
n;supermarkets, gas stations forced to advertise pritzker tax 'relief' july 1 
n;cancer horoscope july 2022 â€” love and career predictions 
n;coldwater's boyce signs with trine university track and field 
n;michael bay resurrects platinum dunes, signs first
n;today's headlines: newsom signs state budget bills, with gas refunds for californians 
n;shots fired on madisonâ€™s south side 
n;sparks fly between july 4 fireworks competitors 
n;the streaming
n;cancer dating guide: traits, compatibility in love and sex, and more 
n;oof, these 4 zodiac signs are cringe
n;nikki haley previews 2024 presidential run in iowa 
n;offshore gas giant qatarenergy signs on to zero
n;williams fourth of july fireworks a green light 
n;signs point to mitch trubisky starting at quarterback for the steelers 
n;cheapest petrol and diesel in lancashire today at shell, asda, bp and texaco 
n;recession worries strain london stocks on first day of second half 
n;rovco signs contract with van oord 
n;the 3 zodiac signs with the best horoscopes on thursday, june 30, 2022 
n;mcu: which avenger are you based on your zodiac sign? 
n;bighorn national forest campground interpretive programs begin july 2 
n;honeywell signs up with anchorage investments for $2bn petro complex in egypt 
n;arizona gov. ducey signs $15.6 billion budget 
n;liverpool and mohamed salah have reached perfect compromise as âł55m fsg risk comes at right time 
n;boston pops fireworks spectacular back at the esplanade this year 
n;report: english side open talks to sign â€absolutely brilliantâ€™ man city player 
n;john wall to sign with clippers after rockets buyout, and basketball in la just got a lot more interesting 
n;allen park welcomes back jamestown municipal band | news, sports, jobs 
n;saudi arabia's retal signs $91m deal with pif
n;shell signs deal to receive lng at future german brunsbuettel terminal 
n;oil posts first monthly drop this year as opec hikes supply 
n;fifa 22 shapeshifters team 3 squad revealed with david ginola and marcus rashford 
n;boy's life changed forever as driver drives through red light 
n;shell signs contract for green hydrogen plant in rotterdam 
n;eoin morgan signs off as simply the best of englandâ€™s one
n;abb signs global agreement to provide its full portfolio of ev charging technology to shell 
n;once again, an upfront like no other 
y;shell signs agreement for green hydrogen project with brazil's acu port 
y;shell signs on with exxonmobil
n;appeal to find missing blackburn man last seen in leyland 
n;the outside story: blanding's turtle annual journey | weekend magazine | rutlandherald.com 
n;fully restored 1959 chevrolet corvette convertible roars off for $82,600 (canadian) in miller & miller's june 
y;shell signs agreement to sell permian interest for $9.5 billion to conocophillips 
y;shell 2021 oil spills in nigeria double in volume 
y;shell signs global partnership to accelerate ai integration 
y;shell signs $1.55 billion deal to acquire india's sprng energy group 
n;crowley signs mou with shell to decarbonise maritime sector 
y;shell signs new 20
y;shell reports record q1 earnings as oil prices soar 
y;shell signs concession for oman block 10 
y;shell signs offshore production sharing contracts with malaysia's petronas 
n;bw offshore signs deal with shell and inches closer to gato do mato fpso 
y;shell signs 52gwh italian solar ppa 
y;shell signs deal with iot startup for remote monitoring of wells 
y;shell signs $926mm deal to sell egyptian onshore assets to cairn energy 
y;shell signs up 45 lng carriers for fuel
y;shell signs five
n;chevron signs farm
n;tellurian and shell sign agreements for 3 mtpa 
n;breast implant rupture 
n;ngc and shell sign hoa to advance the manate... 
n;industrial ai startup detect technologies signs global pact with shell 
y;shell signs big for solar with island green power & clearstone | theenergyst.com 
n;spr, shell sign scotwind leases 
y;oman shell, oman airports sign green hydrogen partnership 
y;qatar petroleum signs ten
y;shell signs solar farm exploratory pact with singapore's jtc 
y;shell signs up to norwegian blue hydrogen: update 
y;shell signs removed from davidson co gas station amid de
y;daimler truck, shell sign agreement on hydrogen trucking in europe 
y;shell signs deal with bhp to power lng
y;shell signs deal to sell minority stake in qclng for $2.5bn 
y;oman lng signs deal with shell to ship middle east's first carbon
y;shell, exxonmobil and cnooc team up on world
y;shell canada among backers of montney shale ccs project 
y;shellâ€™s massive carbon capture facility in canada emits far more than it captures, study says 
n;solution or band
y;north sea jackdaw project goes ahead following shell revisions 
n;tracking the energy transition: ccs and newbuild ships, the rise of hydrogen projects, ev manufacturing stateside, and the smell of fuel conversion success 
n;netherlands eyeing co
y;shell's dutch h2 plant to meet 10pc of pernis demand 
n;seismic companies eye a future in ccs 
n;mining billionaire twiggy forrest slams blue hydrogen and carbon capture 'greenwash' | recharge 
n;carbon capture and storage (ccs) market 2022 booming strategies of top companies â€“ chevron corporation, archer daniels midland company, china huaneng group, royal dutch shell plc, eni spa, sasol limited, aker clean carbon as, halliburton co 
n;three companies apply for carbon capture permits in norway's north sea 
n;northern lights ccs awards abb electrical, automation contracts 
y;shell sees a profitable future for carbon capture and storage as a service 
n;carbon capture, utilization, and storage global market report 2022 
y;equinor, shell and total invest in northern lights ccs 
y;shell unveils plans for giant canadian carbon capture and storage project 
n;alberta picks six proposals to develop canada's first carbon storage hubs 
y;shell partners with petronas to explore malaysian carbon capture and storage opportunities 
y;if chevron, exxon and shell can't get gorgon's carbon capture and storage to work, who can? 
y;shell, rwe to partner on low
y;shell mulls singapore carbon capture hub and biofuels plant 
y;shell, archaea energy explore carbon capture projects for sw, ne pa 
n;ccs hubs gain traction in southeast asia 
y;shell to use basf sorbead tech for ccs 
y;shell, uniper partner on uk low
n;worley awarded ccs contract for shell canada's polaris project 
y;shell's quest blue hydrogen plant emits more carbon than it captures 
y;petronas teams up with shell and japex to pursue ccs in malaysia 
n;competition underway to develop carbon
n;the great carbon capture scam 
n;factbox: biden administration sees carbon capture as key tool in climate fight 
n;canada creates carbon
n;move to scuttle carbon capture would be equivalent of banning all renewable energy 
n;qatarenergy sets 'aggressive target' to scale up ccs and solar power by 2035 
n;we're witnessing the birth of an industry amid race for alberta carbon capture developments 
y;shell takes technical developer role at acorn ccs project 
n;chevron wades in to bayou bend offshore ccs 
y;if chevron, exxon and shell canâ€™t get carbon capture right at gorgon, who can? 
n;achieving net
n;reconciliation energy transition inc. (reti) and shell canada products (shell) execute mou to co
y;shell says one of the largest hydrogen electrolyzers in the world is now up and running in china 
y;shell reaches peak oil and emissions as it plots net
n;chevron says world's largest carbon capture project has 'a ways to go' to meet goals 
n;analysis: sunrise or another false dawn for technology to bury emissions? 
y;shell to use basf adsorption technology for ccs 
n;notice of 2022 annual general meeting and shell's energy transition progress report 
n;canada, industry in talks to cement future carbon price hikes 
n;technip, shell test improvements to carbon capture technology 
y;shell joins key large
n;co2 capture and storage requires challenging engineering in unfamiliar spaces 
y;shell to provide carbon capture technology to help decarbonise uk industrial cluster 
n;canada needs energy policy clarity around carbon capture to get projects off the ground 
y;shell mulls more carbon capture projects in alberta as quest hits 5 million tonne milestone 
y;japan's mitsubishi partners with shell canada in clean energy push 
n;ccs in the gulf: climate solution or green washing? 
n;two call centres raided at delhi
n;aramis ccs project aims for large
n;carbon capture and storage gaining momentum, but clock is ticking to reach climate goals 
n;colombia's ecopetrol aims to boost gas output, start ccs project 
n;us appalachia alliance to drive hydrogen and ccs in the region 
y;shell eyes hydrogen growth and 25mtpa of carbon capture and storage capacity by 2035 
y;shell plc first quarter 2022 unaudited results 
y;shell waiting on approval for ccs to exit abadi lng 
n;one more company joins acorn ccs as partner 
n;kasawari ccs shows hydrocarbons and energy transition not mutually exclusive 
n;chevron's flagship gorgon ccs project still failing to live up to expectations 
n;dutch energy companies sign contract for porthos co2 project 
n;dutch govt grants $2.4 bln in subsidies to huge carbon storage project 
n;canada oil producers grapple with trudeau's demand for faster emissions cuts 
n;uk flags two ccs projects for funding, but scottish venture 'disappointed' 
y;shell working closely with province to get new carbon storage hub over the finish line 
y;venture global lng expands lng partnership with shell 
y;shell to use cansolv co2 technology at deer park energy center 
n;canadian oil industry at odds with trudeau over new 2030 climate plans 
n;doe invests $45 million to decarbonize the natural gas power and industrial sectors using carbon capture and storage 
y;equinor, shell and total sign off on building world's first carbon capture network | recharge 
n;oil is soaring. will the majors stick with net zero? 
n;uae's adnoc, totalenergies sign agreement on ccs, hydrogen 
n;'critical enabler': malaysia has lofty carbon capture and storage ambitions 
n;pembina keen on cooperation among canadian ccs projects 
n;factbox: big oil's climate targets 
n;dutch regulator: shell and totalenergies can collaborate on co2 storage 
y;shell, japanese utilities tapping low
n;carbon capture utilization and storage market segments and forecast from 2022
n;carbon capture market lures cargo ships 
y;bp and shell among witnesses to give evidence to mps on hydrogen potential in scotland 
n;twelve is recycling captured co2 into fuel, sunglasses and more 
n;worley to integrate shell's carbon capture tech with humber refinery 
n;stakes high as pittsburgh region vies for location as hydrogen hub 
y;for shell, ai and data is as critical as oil 
n;exxon ceo says no new gas cars globally by 2040, goes wolf in sheepâ€™s clothing about co2 
y;shell unveils carbon capture project in canada's alberta province 
y;shell to work with basf for carbon capture and storage 
n;petronas and shell seeking to unlock carbon capture and storage opportunities in malaysia 
n;carbon capture loses ground to carbon recycling 
y;pa. dep: shell, archaea energy take early steps toward underground carbon storage 
n;global ceos urge g7 leaders to step up climate action 
n;cp daily: tuesday june 7, 2022 â« carbon pulse 
y;shell and pdo to study carbon capture and storage in oman 
n;a bacteria
y;exxon and shell join scottish carbon capture project 
n;us department of energy invests $3.5 billion in carbon capture initiatives 
y;phillips 66 and shell unite on humber to drive carbon capture technology across global refining sector 
n;activist looks ahead as shell's beaver county ethane cracker goes online 
y;shell, exxon look to profit from capturing customers' carbon emissions 
n;shell turns to forests and the earth to soak up its emissions 
n;eqt, equinor, shell polymers and us steel to participate in appalachian hydrogen & carbon capture conference iii 
y;dutch ad watchdog tells shell to pull 'carbon neutral' campaign 
n;worley scoops polaris pre
n;why are so many hydrogen deals being announced around the world 
n;exclusive: petrochina may sell australian, canadian assets to stem losses 
n;the growing chorus for carbon capture 
n;carbon capture in canada: a guide to the investment boom 
n;alberta seeks new carbon capture approaches | 2021
n;greenhouse gas removal â€not a silver bullet to achieve net zeroâ€™ 
y;shell carbon
y;exxonmobil, shell, and cnooc eye carbon capture in china 
n;chevron's carbon capture struggle shows big oil's climate hurdle 
n;exxon restarts wyoming carbon capture project after 2
y;shell & eki energy services launch joint venture for carbon credit 
n;pennsylvania gov. tom wolf vows aggressive push to establish a hydrogen and carbon storage hub in the region 
n;germany raises national energy alert over russia's 'economic attack' 
n;big energy companiesâ€™ new pitch: â€carbon
n;worley wins contract for humber zero carbon capture project 
n;battle over carbon capture as tool to fight climate change 
n;mit scientists put forward a new method that can solve the carbon storage problem 
y;equinor transfers operatorship for gom field to shell 
y;apache, shell win offshore exploration blocks in uruguay 
n;shell selects audubon as contractor for gulf of mexico assets 
n;audubon receives engineering services contract from shell offshore 
y;shell adds high
n;russia seizes control of partly foreign
y;shell to join danish energy island consortium 
y;shell, australian workers union in stalemate over prelude dispute 
y;shell eyes asia offshore ccs hub 
y;shell hands out new deal to bureau veritas for offshore and onshore assets in uk 
n;more offshore oil & gas leasing won't fix high prices 
y;shell's floater rig of the year award goes to maersk drillship 
n;cma cgm, shell join forces for lng supply, maritime decarbonisation 
y;south africa court to rule on shell offshore oil exploration 
y;tanzania government signs natural gas deal with shell and equinor 
n;global floating production system market share, potential growth by 2028 â€“ key companies as chevron, petrobras, shell, bw offshore â€“ designer women 
y;shell keeps maersk rig for north sea pensacola well 
n;saipem confirms shell's gato do mato fpso lntp 
y;activists target uk govt in protest against shell's jackdaw project 
n;offshore lubricants market size, scope and forecast | royal dutch shell, chevron, exxonmobil, castrol, total, british petroleum, sinopec, idemitsu kosan, jx nippon oil & energy corp, lukoil â€“ designer women 
n;ongc gears up for promising andaman deep
y;shell to sell $541m appalachian shale business to national fuel gas 
n;trinidad boosts lng exports to europe, rushes more gas output 
n;us sec charges bc man allegedly connected to major offshore stock scheme 
n;staatsolie to offer 60% of suriname's offshore blocks in coming year 
y;shell to develop crux natural gas field offshore western australia 
n;rovco nets uxo, seabed survey deal at dutch offshore wind farm 
y;maersk drilling secures $100 million contract for offshore drilling services with shell 
y;totalenergies, shell place big bets on brazil's offshore oil 
y;shell awards worley gom digital, engineering contract 
y;shell finds oil at blacktip north in the deepwater gulf of mexico 
y;no oil for shell in north sea well 
y;shell's profit soars on higher oil and gas prices 
y;shell moving forward with new offshore oil exploration project 
y;shell ordered to pause seismic survey offshore south africa 
y;shell and totalenergies win fresh exploration blocks offshore brazil 
y;shell, uk regulators renew talks on jackdaw offshore field development 
y;shell commits to power malaysian offshore platform with solar and wind energy 
n;petrochina may divest australian and canadian assets to offset losses 
y;shell enters chevron
y;shell orders second ec
y;shell making further floating offshore wind moves in south korea 
y;shell, ecopetrol set to spud colombia offsho... 
y;helix to provide well intervention services for shell in u.s. gulf of mexico 
y;shell forging ahead with crux
y;shell acquires egypt's offshore block 3 
y;shell sorry for buying russian crude, pledges to withdraw from all russian oil & gas 
y;shell signs psc for atapu offshore brazil 
n;bw offshore and saipem target shell's gato do mato contract 
y;totalenergies, shell among successful bidders for brazilian offshore fields 
n;gulf of mexico oil drilling makes too
y;offshore wind, hydrogen part of shell's âł25 billion uk investment plan 
y;shell begins redeploying personnel to platform in gulf of mexico 
y;shell expects ida
y;shell joins exxon in losing brazil bet 
y;shell gets approval to restart prelude flng 
y;shell to buy lng from venture global's plaquemines plant 
y;shell boosts dividend and buybacks as profit swells 
y;shell gets closer to drilling north sea gas target this year 
n;fox & friends joins scalise at gulf's largest offshore platform 
y;totalenergies, shell plan exploration drilling offshore south africa 
n;munmubaram secures electricity business license for floating offshore wind project in south korea 
y;shell board facing legal action over 'failing to properly prepare for energy transition' 
y;qatarenergy joins shell in two blocks offshore egypt 
y;shell: global lng trade increased by 6% in 2021 amid high prices 
y;shell and scottishpower set up multi
y;shell gains approval to use transocean rig for ormen lange drilling 
y;kbr will support shell in hydrogen liquefaction 
n;gulf of mexico deepwater discoveries tick up slightly 
y;shell fined for breaching production consents for north sea fields 
y;shell readying colombia offshore wildcat well 
y;bp and shell pension schemes still lack net zero targets despite company pledges 
y;shell advances decarbonisation with japan lng buyers 
n;are big companies' net
y;shell directors sued for â€failing to prepare company for net zeroâ€™ 
y;shell details strategy to net zero in new report 
y;uk government, shell talk pivoting back to north sea oil and gas 
n;achieving net zero by 2050: the mmv plan as a fundamental component to carbon sequestration operations 
n;shell fleet solutions to drive fleet decarbonisation with new accelerate to zero programme 
n;sabey data centers commits to net
n;more than 700 of the world's largest public companies have net zero goals. are they greenwashing? 
n;shell consultant quits and accuses firm of 'extreme harms' 
n;shell's net zero plan will be judged on science, not spin 
n;shell on path to miss own emission reduction goals, report says 
n;will the greenpeace protests at cannes stop agencies working with fossil fuel clients? 
n;f1 races ahead with its net
y;shell to build dutch biofuels plant in net
n;shell launches management service to re
n;shell sustainable business strategy leads to an acquisition 
n;parsing net zero: given information on emissions types, half of the public says oil sector must do more than it has pledged 
n;what makes a good net zero carbon emissions pledge? 
y;shell sets emission ambition of net zero by 2050, with customer help 
n;let's look under the 'shell' of this esg
n;leed zero with solar + storage systems for hunters point 
n;qatar energy to cut emissions as methane movement grows 
y;hanson uk and shell sign net zero mou 
n;net zero by 2050? sooner the better 
n;mcdermott studies net
y;shell walks 'tightrope' of demands amid climate change pressures 
n;exxonmobil aims for net zero greenhouse gas emissions from operations by 2050 
y;shell needs to be dismantled. here's how 
n;my hopes for cop26 
n;environmental group disappointed in supreme court epa ruling 
n;shellâ€™s board faces personal liability for failure to cut emissions: environment group 
n;climate goals help drive shell's permian oil basin exit 
n;oil giant shell set to appeal against ruling on carbon emissions 
n;what does net zero emissions mean for big oil? not what you'd think 
n;some companies net
y;shell hopes to be net
n;you said it: hope she'll make it healthier 
n;mcdermott and shell in decarbonization deal 
y;hanson uk signs agreement with shell on working towards net zero in the construction industry 
n;oil prices surge on supply woes 
y;advisory firm pirc opposes shell climate plan for lacking ambition 
n;china to triple electricity generation to achieve its climate goals, shell says 
y;how shell plans to achieve net zero emissions by 2050 
n;the chemical industry's new green deals 
y;shell hunts for hydrogen opportunities in australia in net zero push 
n;bp, chevron and other oil firms aren't living up to climate pledges, study finds 
y;bp and shell replenish carbon
y;shell sees ai as fuel for its sustainability goals 
y;bp, shell leaders to face congress over alleged climate cover
n;navigating a net
y;shell to sign deal with qatar for large lng project 
y;equinor sells majority stake in deep
y;russia moves to take control of sakhalin
y;shell swoops for equinor's majority stake in deep
y;shell, accenture and amex gbt launch blockchain saf project 
y;qatar picks exxon, total, shell, conoco for mega
y;shell takes linnorm standalone concept off the table 
n;in 'project shell,' vr headset gives people a turtle's
y;production vessel arrives at shell pierce field for north sea gas project 
n;behind the scenes of â€marcel the shell with shoes onâ€™ 
n;tycoon razon to acquire philippines malampaya gas project from udenna, shell divestment ongoing 
n;'marcel the shell with shoes on': jenny slate on making the year's most adorable movie 
n;small cap movers: deltic energy oxford biodynamics 
y;shell in talks with chinese firms to sell stake in russian gas project 
y;shell pulls out of controversial cambo project in scotland 
y;british regulator poised to approve shell north sea gas project 
y;shell withdraws staff from russia projects as exit plan begins 
y;shell says tanzania lng project is making good progress 
y;shell reconsidering its decision to pull out of controversial cambo oilfield project 
y;shell buys into australian wind farm developer with $4 bln project portfolio 
y;shell delivers first gas from barracuda project 
n;construction project begins in shell beach to help restore coastal access, repair damaged bluff area | news channel 3
y;shell eyeing $1.4 billion project to further expand its alpha olefins capabilities 
y;shell to partner with brazil's aă§u to build green hydrogen plant 
y;shell restarts prelude flng project 
y;shell's south korean floating wind project cleared for 1.3 gw capacity 
y;shell expects new us petrochemical complex to start up by year
y;shell taps german lng project for 'substantial' capacity 
y;shell rounds the corner on a whale of a task 
y;shell acquires pv project pipeline in italy â€“ pv magazine international 
y;shell confirms shuttered convent facility will become an alternative fuels complex 
y;shell acquires 51% stake in irish floating offshore wind project 
y;worley to support shell's assets in gulf of mexico under new three
n;sembcorp marine delivers giant platform for shell's gulf of mexico project 
n;'wild goose chase': shell delays bonga south west aparo by two more years 
y;uniper and shell partner on blue hydrogen project 
y;shell taps maersk for fpso project support in brazil 
y;hyundai north america joins shell hydrogen's project neptune to grow hydrogen refueling infrastructure in california 
y;shell to build 100 mw hybrid wind
y;shell gets ok to proceed with offshore wind project off new england 
y;shell unit commits to renewable
y;shell eyes major expansion of b.c. natural gas project 
y;shell plans to become brazil's largest offshore wind developer 
y;shell in race for $1.1 bln spanish green energy projects, sources say 
n;brunei shell petroleum company and accessesp successfully complete gorigless esp pilot project 
n;isn't one of shell's carbon offsets projects fundamentally flawed? 
n;dutch contractor to support towing and hook
y;shell and totalenergies set to see output bo... 
n;residents meet solar developers in plano | local news | wspynews.com 
n;how big is the solar system? 
n;treasury wine estates to install thousands of solar panels 
n;lightyear zero is a (partially) solar ev 
y;shell collaborates with basf for green hydrogen purification 
n;swarms of tiny robots may one day explore oceans on other worlds 
n;solar panel coatings market size, scope and forecast | arkema group, fenzi spa, nanotech products pty limited, koninklijke dsm nv, 3m, ppg industries inc., nanoshell limited, nanotech products pty limited, simco group. â€“ designer women 
n;making minerals: crushed, zapped, boiled and baked 
n;mersey 2.4 is a truck camper boasting the works: complete off
y;shell, gerdau to create solar power joint venture in brazil 
y;shell ventures and abp are taking an interest in solar energy company enie.nl 
y;shell to partner with renewables firm on solar farm near edmonton 
y;shell makes first u.k. solar investments amid power expansion 
y;us solar player backed by shell raises $775 million in new equity capital 
n;wv v. epa: the climate action horses have left the barn 
n;singapore's keppel to acquire shell
n;solar cable market size, scope and forecast | allied wire & cable inc., amphenol industrial products group, eldra bv, general cable corporation, kbe elektrotechnik gmbh, lapp group, lumberg group, ningbo pntech new energy co. ltd., phoenix c 
n;flexible electronics and circuit market size, scope and forecast | lg group (lg display & lg chem) , first solar , the 3m company, multi
n;oil and gas giants shell and total get serious about solar 
n;what is a white dwarf? 
y;shell and inaccess to deploy unity platform in 100mw hybrid project 
n;concentrated solar power market size, scope and forecast | abengoa, acciona energy, siemens, chiyoda corporation, acwa power, torresol energy, solar reserve, brightsource energy inc., areva solar, enel green power. â€“ designer women 
y;shell buys into australian wind farm developer with $4 bln project portfolio 
n;high frequency solar inverter market size, scope and forecast | abb, sma solar technology, canadian solar, solaredge technologies, sunpower, delta electronics, solectria renewables, sineng electric, hitachi hi
n;savion expects to be a catalyst for shell's us solar energy growth plans 
n;royal dutch shell is making an effort â€” will it be enough? 
n;business highlights: summer travel, auto sales slump 
y;royal dutch shell invests in tennessee solar 
y;shell commits to re investments worth $565 m in brazil by 2025 
y;shell malaysia installs solar panels at 216 retail stations 
n;massive new solar project announced to power shell scotford refinery 
n;photos: old shell gas station converted to ev
y;shell, canadian pension fund lead race for actis peâ€™s solar portfolio sprng energy 
n;shell scotford host open house, announce $100m solar farm project 
n;in focus: singapore's electric vehicle revolution is coming 
y;shell plans to invest usd 564m in brazil's clean energy sector 
n;powering industry with help from the sun 
y;wood completes work on shell's first solar pv plant in the middle east | wood 
y;oman shell completes 'solar into schools' project in 22 schools across the sultanate 
